Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2003,One off houses,Louth,Louth,224,353,79,353
2003,One off houses,Mayo,Mayo,195,1229,240,1229
2003,One off houses,Meath,Meath,215,423,91,423
2003,One off houses,Monaghan,Monaghan,230,366,84,366
2003,One off houses,Offaly,Offaly,206,374,77,374
2003,One off houses,Roscommon,Roscommon,191,524,100,524
2003,One off houses,Sligo,Sligo,194,377,73,377
2003,One off houses,Waterford,Waterford,211,389,82,389
2003,One off houses,Westmeath,Westmeath,205,331,68,331
2003,One off houses,Wexford,Wexford,189,677,128,677
2003,One off houses,Wicklow,Wicklow,190,221,42,221
2003,Private flats/apartments,Carlow,Carlow,72,36,30,418
2003,Private flats/apartments,Cavan,Cavan,81,16,11,135
2003,Private flats/apartments,Clare,Clare,86,41,29,336
2003,Private flats/apartments,Cork,Cork,80,147,117,1465
2003,Private flats/apartments,Donegal,Donegal,69,60,30,437
2003,Private flats/apartments,Dublin,Dublin,80,423,1289,16187
2003,Private flats/apartments,Galway,Galway,74,48,17,231
2003,Private flats/apartments,Kerry,Kerry,79,54,22,278
2003,Private flats/apartments,Kildare,Kildare,83,62,76,912
2003,Private flats/apartments,Kilkenny,Kilkenny,78,26,22,283
2003,Private flats/apartments,Laois,Laois,109,25,24,221
2003,Private flats/apartments,Leitrim,Leitrim,70,14,4,57
2003,Private flats/apartments,Limerick,Limerick,87,34,23,264
2003,Private flats/apartments,Longford,Longford,78,13,7,90
2003,Private flats/apartments,Louth,Louth,76,40,54,708
2003,Private flats/apartments,Mayo,Mayo,79,50,22,279
2003,Private flats/apartments,Meath,Meath,81,58,63,781
2003,Private flats/apartments,Monaghan,Monaghan,76,23,7,92
2003,Private flats/apartments,Offaly,Offaly,63,20,4,63
2003,Private flats/apartments,Roscommon,Roscommon,86,20,15,175
2003,Private flats/apartments,Sligo,Sligo,91,24,30,330
2003,Private flats/apartments,Waterford,Waterford,73,14,12,165
2003,Private flats/apartments,Westmeath,Westmeath,57,20,20,349
2003,Private flats/apartments,Wexford,Wexford,84,41,25,298
2003,Private flats/apartments,Wicklow,Wicklow,91,35,32,353
