Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2010,Private flats/apartments,Offaly,Offaly,200,5,1,5
2010,Private flats/apartments,Roscommon,Roscommon,125,3,1,8
2010,Private flats/apartments,Sligo,Sligo,103,9,3,29
2010,Private flats/apartments,Waterford,Waterford,118,6,2,17
2010,Private flats/apartments,Westmeath,Westmeath,100,7,3,30
2010,Private flats/apartments,Wexford,Wexford,89,20,5,56
2010,Private flats/apartments,Wicklow,Wicklow,103,19,76,739
2011,Houses,Carlow,Carlow,213,58,34,160
2011,Houses,Cavan,Cavan,210,54,22,105
2011,Houses,Clare,Clare,241,193,52,216
2011,Houses,Cork,Cork,200,619,215,1076
2011,Houses,Donegal,Donegal,202,339,131,650
2011,Houses,Dublin,Dublin,131,233,250,1905
2011,Houses,Galway,Galway,235,367,103,439
2011,Houses,Kerry,Kerry,228,214,53,232
2011,Houses,Kildare,Kildare,246,138,45,183
2011,Houses,Kilkenny,Kilkenny,177,135,50,282
2011,Houses,Laois,Laois,223,92,29,130
2011,Houses,Leitrim,Leitrim,233,40,10,43
2011,Houses,Limerick,Limerick,222,155,41,185
2011,Houses,Longford,Longford,286,35,10,35
2011,Houses,Louth,Louth,185,113,33,178
2011,Houses,Mayo,Mayo,222,268,74,333
2011,Houses,Meath,Meath,164,238,136,828
2011,Houses,Monaghan,Monaghan,243,118,36,148
2011,Houses,Offaly,Offaly,201,111,39,194
2011,Houses,Roscommon,Roscommon,252,92,27,107
2011,Houses,Sligo,Sligo,214,95,30,140
2011,Houses,Waterford,Waterford,165,96,34,206
2011,Houses,Westmeath,Westmeath,209,104,40,191
2011,Houses,Wexford,Wexford,179,236,91,507
2011,Houses,Wicklow,Wicklow,200,90,22,110
2011,Multi development houses,Carlow,Carlow,182,8,20,110
2011,Multi development houses,Cavan,Cavan,115,1,6,52
2011,Multi development houses,Clare,Clare,194,8,6,31
2011,Multi development houses,Cork,Cork,153,34,75,491
2011,Multi development houses,Donegal,Donegal,145,13,47,324
2011,Multi development houses,Dublin,Dublin,124,46,213,1718
2011,Multi development houses,Galway,Galway,183,10,15,82
2011,Multi development houses,Kerry,Kerry,185,9,5,27
2011,Multi development houses,Kildare,Kildare,200,15,12,60
2011,Multi development houses,Kilkenny,Kilkenny,112,5,17,152
2011,Multi development houses,Laois,Laois,122,3,5,41
2011,Multi development houses,Leitrim,Leitrim,250,1,1,4
2011,Multi development houses,Limerick,Limerick,139,6,5,36
2011,Multi development houses,Louth,Louth,99,6,7,71
2011,Multi development houses,Mayo,Mayo,176,9,13,74
2011,Multi development houses,Meath,Meath,127,16,77,606
2011,Multi development houses,Monaghan,Monaghan,147,4,5,34
2011,Multi development houses,Offaly,Offaly,132,8,12,91
2011,Multi development houses,Roscommon,Roscommon,125,1,2,16
2011,Multi development houses,Sligo,Sligo,104,3,5,48
2011,Multi development houses,Waterford,Waterford,113,5,13,115
2011,Multi development houses,Westmeath,Westmeath,156,9,15,96
2011,Multi development houses,Wexford,Wexford,131,20,38,291
2011,Multi development houses,Wicklow,Wicklow,138,9,4,29
2011,One off houses,Carlow,Carlow,280,50,14,50
2011,One off houses,Cavan,Cavan,302,53,16,53
2011,One off houses,Clare,Clare,249,185,46,185
2011,One off houses,Cork,Cork,241,585,141,585
2011,One off houses,Donegal,Donegal,258,326,84,326
2011,One off houses,Dublin,Dublin,193,187,36,187
2011,One off houses,Galway,Galway,246,357,88,357
2011,One off houses,Kerry,Kerry,234,205,48,205
2011,One off houses,Kildare,Kildare,268,123,33,123
2011,One off houses,Kilkenny,Kilkenny,254,130,33,130
2011,One off houses,Laois,Laois,270,89,24,89
2011,One off houses,Leitrim,Leitrim,256,39,10,39
2011,One off houses,Limerick,Limerick,242,149,36,149
2011,One off houses,Longford,Longford,286,35,10,35
2011,One off houses,Louth,Louth,243,107,26,107
2011,One off houses,Mayo,Mayo,236,259,61,259
2011,One off houses,Meath,Meath,266,222,59,222
2011,One off houses,Monaghan,Monaghan,272,114,31,114
2011,One off houses,Offaly,Offaly,272,103,28,103
2011,One off houses,Roscommon,Roscommon,275,91,25,91
2011,One off houses,Sligo,Sligo,272,92,25,92
2011,One off houses,Waterford,Waterford,231,91,21,91
2011,One off houses,Westmeath,Westmeath,263,95,25,95
2011,One off houses,Wexford,Wexford,245,216,53,216
2011,One off houses,Wicklow,Wicklow,222,81,18,81
2011,Private flats/apartments,Carlow,Carlow,143,2,1,7
2011,Private flats/apartments,Cavan,Cavan,0,5,0,6
2011,Private flats/apartments,Clare,Clare,118,9,2,17
2011,Private flats/apartments,Cork,Cork,114,26,23,202
2011,Private flats/apartments,Donegal,Donegal,59,6,1,17
2011,Private flats/apartments,Dublin,Dublin,105,63,213,2031
2011,Private flats/apartments,Galway,Galway,200,4,1,5
2011,Private flats/apartments,Kerry,Kerry,111,6,1,9
2011,Private flats/apartments,Kildare,Kildare,0,7,0,7
2011,Private flats/apartments,Kilkenny,Kilkenny,83,8,2,24
2011,Private flats/apartments,Laois,Laois,200,5,1,5
2011,Private flats/apartments,Leitrim,Leitrim,0,1,0,1
2011,Private flats/apartments,Limerick,Limerick,91,8,1,11
2011,Private flats/apartments,Longford,Longford,0,2,0,2
2011,Private flats/apartments,Louth,Louth,82,9,5,61
2011,Private flats/apartments,Mayo,Mayo,0,3,0,3
2011,Private flats/apartments,Meath,Meath,91,12,2,22
2011,Private flats/apartments,Monaghan,Monaghan,0,1,0,1
2011,Private flats/apartments,Offaly,Offaly,0,4,0,4
2011,Private flats/apartments,Roscommon,Roscommon,0,1,0,1
2011,Private flats/apartments,Sligo,Sligo,100,4,2,20
2011,Private flats/apartments,Waterford,Waterford,0,3,0,3
2011,Private flats/apartments,Westmeath,Westmeath,95,9,2,21
2011,Private flats/apartments,Wexford,Wexford,111,9,1,9
2011,Private flats/apartments,Wicklow,Wicklow,0,4,0,5
2012,Houses,Carlow,Carlow,235,33,8,34
2012,Houses,Cavan,Cavan,268,56,15,56
2012,Houses,Clare,Clare,230,128,32,139
2012,Houses,Cork,Cork,228,511,129,565
2012,Houses,Donegal,Donegal,207,274,84,405
2012,Houses,Dublin,Dublin,153,189,167,1095
2012,Houses,Galway,Galway,230,218,62,269
2012,Houses,Kerry,Kerry,214,154,51,238
2012,Houses,Kildare,Kildare,219,89,25,114
2012,Houses,Kilkenny,Kilkenny,250,107,29,116
2012,Houses,Laois,Laois,239,67,16,67
2012,Houses,Leitrim,Leitrim,278,18,5,18
2012,Houses,Limerick,Limerick,220,140,44,200
2012,Houses,Longford,Longford,279,42,12,43
2012,Houses,Louth,Louth,160,123,48,300
2012,Houses,Mayo,Mayo,247,180,46,186
2012,Houses,Meath,Meath,234,160,50,214
2012,Houses,Monaghan,Monaghan,250,96,27,108
2012,Houses,Offaly,Offaly,279,60,17,61
2012,Houses,Roscommon,Roscommon,257,83,27,105
2012,Houses,Sligo,Sligo,247,78,20,81
2012,Houses,Waterford,Waterford,235,65,16,68
2012,Houses,Westmeath,Westmeath,183,82,39,213
2012,Houses,Wexford,Wexford,237,188,51,215
2012,Houses,Wicklow,Wicklow,188,90,26,138
2012,Multi development houses,Carlow,Carlow,0,1,0,2
2012,Multi development houses,Clare,Clare,125,5,2,16
2012,Multi development houses,Cork,Cork,156,10,10,64
2012,Multi development houses,Donegal,Donegal,122,8,17,139
2012,Multi development houses,Dublin,Dublin,142,40,134,946
2012,Multi development houses,Galway,Galway,143,5,8,56
2012,Multi development houses,Kerry,Kerry,168,11,16,95
2012,Multi development houses,Kildare,Kildare,161,6,5,31
2012,Multi development houses,Kilkenny,Kilkenny,143,5,2,14
2012,Multi development houses,Limerick,Limerick,182,6,12,66
2012,Multi development houses,Longford,Longford,500,1,1,2
2012,Multi development houses,Louth,Louth,119,8,22,185
2012,Multi development houses,Mayo,Mayo,200,4,2,10
2012,Multi development houses,Meath,Meath,143,9,9,63
2012,Multi development houses,Monaghan,Monaghan,143,2,2,14
2012,Multi development houses,Offaly,Offaly,0,1,0,2
2012,Multi development houses,Roscommon,Roscommon,241,7,7,29
2012,Multi development houses,Sligo,Sligo,167,3,1,6
2012,Multi development houses,Waterford,Waterford,200,2,1,5
2012,Multi development houses,Westmeath,Westmeath,142,3,19,134
2012,Multi development houses,Wexford,Wexford,171,14,7,41
2012,Multi development houses,Wicklow,Wicklow,113,5,6,53
2012,One off houses,Carlow,Carlow,250,32,8,32
2012,One off houses,Cavan,Cavan,268,56,15,56
2012,One off houses,Clare,Clare,236,123,29,123
2012,One off houses,Cork,Cork,238,501,119,501
2012,One off houses,Donegal,Donegal,248,266,66,266
2012,One off houses,Dublin,Dublin,215,149,32,149
2012,One off houses,Galway,Galway,254,213,54,213
2012,One off houses,Kerry,Kerry,245,143,35,143
2012,One off houses,Kildare,Kildare,241,83,20,83
2012,One off houses,Kilkenny,Kilkenny,265,102,27,102
2012,One off houses,Laois,Laois,239,67,16,67
2012,One off houses,Leitrim,Leitrim,278,18,5,18
2012,One off houses,Limerick,Limerick,239,134,32,134
2012,One off houses,Longford,Longford,268,41,11,41
2012,One off houses,Louth,Louth,235,115,27,115
2012,One off houses,Mayo,Mayo,250,176,44,176
2012,One off houses,Meath,Meath,272,151,41,151
2012,One off houses,Monaghan,Monaghan,266,94,25,94
2012,One off houses,Offaly,Offaly,271,59,16,59
2012,One off houses,Roscommon,Roscommon,263,76,20,76
2012,One off houses,Sligo,Sligo,253,75,19,75
2012,One off houses,Waterford,Waterford,238,63,15,63
2012,One off houses,Westmeath,Westmeath,253,79,20,79
2012,One off houses,Wexford,Wexford,253,174,44,174
2012,One off houses,Wicklow,Wicklow,235,85,20,85
2012,Private flats/apartments,Carlow,Carlow,143,4,1,7
2012,Private flats/apartments,Cavan,Cavan,0,1,0,1
2012,Private flats/apartments,Clare,Clare,111,9,1,9
2012,Private flats/apartments,Cork,Cork,70,24,4,57
2012,Private flats/apartments,Donegal,Donegal,100,8,1,10
2012,Private flats/apartments,Dublin,Dublin,100,42,60,599
2012,Private flats/apartments,Galway,Galway,111,8,1,9
2012,Private flats/apartments,Kerry,Kerry,0,5,0,5
2012,Private flats/apartments,Kildare,Kildare,125,8,1,8
2012,Private flats/apartments,Kilkenny,Kilkenny,0,5,0,5
2012,Private flats/apartments,Laois,Laois,0,2,0,2
2012,Private flats/apartments,Limerick,Limerick,83,12,1,12
2012,Private flats/apartments,Louth,Louth,0,8,0,8
2012,Private flats/apartments,Meath,Meath,125,8,1,8
2012,Private flats/apartments,Monaghan,Monaghan,0,4,0,4
2012,Private flats/apartments,Offaly,Offaly,0,3,0,3
2012,Private flats/apartments,Waterford,Waterford,0,4,0,5
2012,Private flats/apartments,Westmeath,Westmeath,63,5,1,16
2012,Private flats/apartments,Wexford,Wexford,77,13,1,13
2012,Private flats/apartments,Wicklow,Wicklow,67,10,1,15
2013,Houses,Carlow,Carlow,225,37,9,40
2013,Houses,Cavan,Cavan,283,46,13,46
2013,Houses,Clare,Clare,231,102,27,117
2013,Houses,Cork,Cork,216,403,121,561
2013,Houses,Donegal,Donegal,242,270,73,302
2013,Houses,Dublin,Dublin,142,297,296,2084
2013,Houses,Galway,Galway,234,199,50,214
2013,Houses,Kerry,Kerry,212,147,39,184
2013,Houses,Kildare,Kildare,156,85,47,302
2013,Houses,Kilkenny,Kilkenny,196,96,81,414
2013,Houses,Laois,Laois,232,54,13,56
2013,Houses,Leitrim,Leitrim,227,18,5,22
2013,Houses,Limerick,Limerick,214,135,33,154
2013,Houses,Longford,Longford,250,26,10,40
2013,Houses,Louth,Louth,241,86,21,87
2013,Houses,Mayo,Mayo,252,155,39,155
2013,Houses,Meath,Meath,197,137,57,289
2013,Houses,Monaghan,Monaghan,258,88,24,93
2013,Houses,Offaly,Offaly,267,44,12,45
2013,Houses,Roscommon,Roscommon,267,45,12,45
2013,Houses,Sligo,Sligo,234,63,15,64
2013,Houses,Waterford,Waterford,262,64,27,103
2013,Houses,Westmeath,Westmeath,233,58,17,73
2013,Houses,Wexford,Wexford,246,183,49,199
2013,Houses,Wicklow,Wicklow,194,72,19,98
2013,Multi development houses,Carlow,Carlow,200,2,1,5
2013,Multi development houses,Clare,Clare,176,2,3,17
2013,Multi development houses,Cork,Cork,158,19,28,177
2013,Multi development houses,Donegal,Donegal,200,8,8,40
2013,Multi development houses,Dublin,Dublin,133,78,248,1865
2013,Multi development houses,Galway,Galway,56,3,1,18
2013,Multi development houses,Kerry,Kerry,195,4,8,41
2013,Multi development houses,Kildare,Kildare,125,7,28,224
2013,Multi development houses,Kilkenny,Kilkenny,173,5,56,323
2013,Multi development houses,Laois,Laois,0,1,0,3
2013,Multi development houses,Leitrim,Leitrim,167,2,1,6
2013,Multi development houses,Limerick,Limerick,161,12,5,31
2013,Multi development houses,Longford,Longford,188,2,3,16
2013,Multi development houses,Louth,Louth,0,1,0,2
2013,Multi development houses,Meath,Meath,125,8,20,160
2013,Multi development houses,Monaghan,Monaghan,167,1,1,6
2013,Multi development houses,Offaly,Offaly,0,1,0,2
2013,Multi development houses,Sligo,Sligo,0,1,0,2
2013,Multi development houses,Waterford,Waterford,200,1,8,40
2013,Multi development houses,Westmeath,Westmeath,176,2,3,17
2013,Multi development houses,Wexford,Wexford,160,9,4,25
2013,Multi development houses,Wicklow,Wicklow,118,8,4,34
2013,One off houses,Carlow,Carlow,257,35,9,35
2013,One off houses,Cavan,Cavan,283,46,13,46
2013,One off houses,Clare,Clare,240,100,24,100
2013,One off houses,Cork,Cork,245,384,94,384
2013,One off houses,Donegal,Donegal,248,262,65,262
2013,One off houses,Dublin,Dublin,219,219,48,219
2013,One off houses,Galway,Galway,250,196,49,196
2013,One off houses,Kerry,Kerry,217,143,31,143
2013,One off houses,Kildare,Kildare,231,78,18,78
2013,One off houses,Kilkenny,Kilkenny,264,91,24,91
2013,One off houses,Laois,Laois,245,53,13,53
2013,One off houses,Leitrim,Leitrim,250,16,4,16
2013,One off houses,Limerick,Limerick,228,123,28,123
2013,One off houses,Longford,Longford,292,24,7,24
2013,One off houses,Louth,Louth,235,85,20,85
2013,One off houses,Mayo,Mayo,252,155,39,155
2013,One off houses,Meath,Meath,287,129,37,129
2013,One off houses,Monaghan,Monaghan,276,87,24,87
2013,One off houses,Offaly,Offaly,279,43,12,43
2013,One off houses,Roscommon,Roscommon,267,45,12,45
2013,One off houses,Sligo,Sligo,242,62,15,62
2013,One off houses,Waterford,Waterford,302,63,19,63
2013,One off houses,Westmeath,Westmeath,250,56,14,56
2013,One off houses,Wexford,Wexford,259,174,45,174
2013,One off houses,Wicklow,Wicklow,234,64,15,64
2013,Private flats/apartments,Clare,Clare,0,4,0,4
2013,Private flats/apartments,Cork,Cork,95,18,2,21
2013,Private flats/apartments,Donegal,Donegal,111,7,1,9
2013,Private flats/apartments,Dublin,Dublin,107,60,98,914
2013,Private flats/apartments,Galway,Galway,0,1,0,1
2013,Private flats/apartments,Kerry,Kerry,83,7,1,12
2013,Private flats/apartments,Kildare,Kildare,0,5,0,5
2013,Private flats/apartments,Kilkenny,Kilkenny,116,7,10,86
2013,Private flats/apartments,Laois,Laois,0,2,0,3
2013,Private flats/apartments,Leitrim,Leitrim,0,1,0,1
2013,Private flats/apartments,Limerick,Limerick,0,4,0,4
2013,Private flats/apartments,Longford,Longford,0,1,0,1
2013,Private flats/apartments,Louth,Louth,0,5,0,6
2013,Private flats/apartments,Mayo,Mayo,0,3,0,3
2013,Private flats/apartments,Meath,Meath,77,9,1,13
2013,Private flats/apartments,Offaly,Offaly,0,4,0,5
2013,Private flats/apartments,Sligo,Sligo,0,2,0,3
2013,Private flats/apartments,Waterford,Waterford,91,6,1,11
2013,Private flats/apartments,Westmeath,Westmeath,143,6,1,7
2013,Private flats/apartments,Wexford,Wexford,83,12,1,12
2013,Private flats/apartments,Wicklow,Wicklow,111,10,2,18
2014,Houses,Carlow,Carlow,216,38,11,51
2014,Houses,Cavan,Cavan,250,52,13,52
2014,Houses,Clare,Clare,216,111,29,134
2014,Houses,Cork,Cork,198,478,138,697
2014,Houses,Donegal,Donegal,206,169,46,223
2014,Houses,Dublin,Dublin,154,376,345,2238
2014,Houses,Galway,Galway,248,253,65,262
2014,Houses,Kerry,Kerry,211,171,52,247
2014,Houses,Kildare,Kildare,178,103,54,303
2014,Houses,Kilkenny,Kilkenny,235,91,28,119
2014,Houses,Laois,Laois,245,49,12,49
2014,Houses,Leitrim,Leitrim,250,8,2,8
2014,Houses,Limerick,Limerick,235,132,42,179
2014,Houses,Longford,Longford,263,19,5,19
2014,Houses,Louth,Louth,184,76,27,147
2014,Houses,Mayo,Mayo,232,138,38,164
2014,Houses,Meath,Meath,173,172,89,515
2014,Houses,Monaghan,Monaghan,252,112,29,115
2014,Houses,Offaly,Offaly,280,75,23,82
2014,Houses,Roscommon,Roscommon,176,55,23,131
2014,Houses,Sligo,Sligo,241,55,14,58
2014,Houses,Waterford,Waterford,232,86,23,99
2014,Houses,Westmeath,Westmeath,262,61,16,61
2014,Houses,Wexford,Wexford,190,172,55,289
2014,Houses,Wicklow,Wicklow,184,98,32,174
2014,Multi development houses,Carlow,Carlow,133,2,2,15
2014,Multi development houses,Clare,Clare,143,5,4,28
2014,Multi development houses,Cork,Cork,133,22,32,241
2014,Multi development houses,Donegal,Donegal,103,4,6,58
2014,Multi development houses,Dublin,Dublin,145,101,285,1963
2014,Multi development houses,Galway,Galway,214,5,3,14
2014,Multi development houses,Kerry,Kerry,155,8,13,84
2014,Multi development houses,Kildare,Kildare,152,11,32,211
2014,Multi development houses,Kilkenny,Kilkenny,161,3,5,31
2014,Multi development houses,Limerick,Limerick,203,12,12,59
2014,Multi development houses,Louth,Louth,127,8,10,79
2014,Multi development houses,Mayo,Mayo,148,1,4,27
2014,Multi development houses,Meath,Meath,130,12,46,355
2014,Multi development houses,Monaghan,Monaghan,167,3,1,6
2014,Multi development houses,Offaly,Offaly,111,2,1,9
2014,Multi development houses,Roscommon,Roscommon,127,3,10,79
2014,Multi development houses,Sligo,Sligo,200,2,1,5
2014,Multi development houses,Waterford,Waterford,125,3,2,16
2014,Multi development houses,Wexford,Wexford,135,9,17,126
2014,Multi development houses,Wicklow,Wicklow,144,14,13,90
2014,One off houses,Carlow,Carlow,250,36,9,36
2014,One off houses,Cavan,Cavan,250,52,13,52
2014,One off houses,Clare,Clare,245,106,26,106
2014,One off houses,Cork,Cork,232,456,106,456
2014,One off houses,Donegal,Donegal,242,165,40,165
2014,One off houses,Dublin,Dublin,218,275,60,275
2014,One off houses,Galway,Galway,254,248,63,248
2014,One off houses,Kerry,Kerry,239,163,39,163
2014,One off houses,Kildare,Kildare,250,92,23,92
2014,One off houses,Kilkenny,Kilkenny,273,88,24,88
2014,One off houses,Laois,Laois,245,49,12,49
2014,One off houses,Leitrim,Leitrim,250,8,2,8
2014,One off houses,Limerick,Limerick,250,120,30,120
2014,One off houses,Longford,Longford,263,19,5,19
2014,One off houses,Louth,Louth,250,68,17,68
2014,One off houses,Mayo,Mayo,248,137,34,137
2014,One off houses,Meath,Meath,269,160,43,160
2014,One off houses,Monaghan,Monaghan,257,109,28,109
2014,One off houses,Offaly,Offaly,288,73,21,73
2014,One off houses,Roscommon,Roscommon,250,52,13,52
2014,One off houses,Sligo,Sligo,264,53,14,53
2014,One off houses,Waterford,Waterford,241,83,20,83
2014,One off houses,Westmeath,Westmeath,262,61,16,61
2014,One off houses,Wexford,Wexford,233,163,38,163
2014,One off houses,Wicklow,Wicklow,226,84,19,84
2014,Private flats/apartments,Carlow,Carlow,0,1,0,1
2014,Private flats/apartments,Clare,Clare,167,5,1,6
2014,Private flats/apartments,Cork,Cork,91,28,5,55
2014,Private flats/apartments,Donegal,Donegal,63,5,1,16
2014,Private flats/apartments,Dublin,Dublin,89,85,46,514
2014,Private flats/apartments,Galway,Galway,0,5,0,5
2014,Private flats/apartments,Kerry,Kerry,143,4,1,7
2014,Private flats/apartments,Kildare,Kildare,71,12,1,14
2014,Private flats/apartments,Kilkenny,Kilkenny,0,4,0,4
2014,Private flats/apartments,Laois,Laois,0,1,0,1
2014,Private flats/apartments,Limerick,Limerick,125,10,2,16
2014,Private flats/apartments,Longford,Longford,0,2,0,2
2014,Private flats/apartments,Louth,Louth,91,10,1,11
2014,Private flats/apartments,Mayo,Mayo,0,4,0,4
2014,Private flats/apartments,Meath,Meath,77,9,1,13
2014,Private flats/apartments,Monaghan,Monaghan,0,2,0,3
2014,Private flats/apartments,Offaly,Offaly,0,2,0,2
2014,Private flats/apartments,Roscommon,Roscommon,0,1,0,1
2014,Private flats/apartments,Sligo,Sligo,0,2,0,2
2014,Private flats/apartments,Waterford,Waterford,0,3,0,3
2014,Private flats/apartments,Westmeath,Westmeath,0,4,0,4
2014,Private flats/apartments,Wexford,Wexford,63,16,1,16
2014,Private flats/apartments,Wicklow,Wicklow,63,11,1,16
2015,Houses,Carlow,Carlow,152,53,25,164
2015,Houses,Cavan,Cavan,265,110,30,113
2015,Houses,Clare,Clare,214,140,43,201
2015,Houses,Cork,Cork,194,550,204,1053
2015,Houses,Donegal,Donegal,232,212,58,250
2015,Houses,Dublin,Dublin,150,465,588,3932
2015,Houses,Galway,Galway,250,260,70,280
2015,Houses,Kerry,Kerry,234,172,61,261
2015,Houses,Kildare,Kildare,164,120,73,444
2015,Houses,Kilkenny,Kilkenny,254,114,33,130
2015,Houses,Laois,Laois,214,93,27,126
2015,Houses,Leitrim,Leitrim,250,26,7,28
2015,Houses,Limerick,Limerick,191,145,53,277
2015,Houses,Longford,Longford,268,38,11,41
2015,Houses,Louth,Louth,177,90,43,243
2015,Houses,Mayo,Mayo,237,142,37,156
2015,Houses,Meath,Meath,165,214,133,806
2015,Houses,Monaghan,Monaghan,195,116,43,221
2015,Houses,Offaly,Offaly,253,71,19,75
2015,Houses,Roscommon,Roscommon,260,45,13,50
2015,Houses,Sligo,Sligo,241,54,13,54
2015,Houses,Waterford,Waterford,210,93,25,119
2015,Houses,Westmeath,Westmeath,163,71,33,203
2015,Houses,Wexford,Wexford,206,217,67,325
2015,Houses,Wicklow,Wicklow,148,143,65,438
2015,Multi development houses,Carlow,Carlow,113,4,13,115
2015,Multi development houses,Cavan,Cavan,200,2,1,5
2015,Multi development houses,Clare,Clare,125,11,9,72
2015,Multi development houses,Cork,Cork,155,32,83,535
2015,Multi development houses,Donegal,Donegal,133,7,6,45
2015,Multi development houses,Dublin,Dublin,145,129,523,3596
2015,Multi development houses,Galway,Galway,125,4,3,24
2015,Multi development houses,Kerry,Kerry,212,10,21,99
2015,Multi development houses,Kildare,Kildare,140,12,47,336
2015,Multi development houses,Kilkenny,Kilkenny,227,6,5,22
2015,Multi development houses,Laois,Laois,143,2,5,35
2015,Multi development houses,Leitrim,Leitrim,250,2,1,4
2015,Multi development houses,Limerick,Limerick,137,7,19,139
2015,Multi development houses,Longford,Longford,167,3,1,6
2015,Multi development houses,Louth,Louth,144,7,23,160
2015,Multi development houses,Mayo,Mayo,105,5,2,19
2015,Multi development houses,Meath,Meath,131,12,79,604
2015,Multi development houses,Monaghan,Monaghan,131,2,14,107
2015,Multi development houses,Offaly,Offaly,167,2,1,6
2015,Multi development houses,Roscommon,Roscommon,167,1,1,6
2015,Multi development houses,Waterford,Waterford,156,6,5,32
2015,Multi development houses,Westmeath,Westmeath,124,5,17,137
2015,Multi development houses,Wexford,Wexford,146,15,18,123
2015,Multi development houses,Wicklow,Wicklow,123,22,39,317
2015,One off houses,Carlow,Carlow,245,49,12,49
2015,One off houses,Cavan,Cavan,269,108,29,108
2015,One off houses,Clare,Clare,256,129,33,129
2015,One off houses,Cork,Cork,234,518,121,518
2015,One off houses,Donegal,Donegal,254,205,52,205
2015,One off houses,Dublin,Dublin,193,336,65,336
2015,One off houses,Galway,Galway,262,256,67,256
2015,One off houses,Kerry,Kerry,247,162,40,162
2015,One off houses,Kildare,Kildare,241,108,26,108
2015,One off houses,Kilkenny,Kilkenny,259,108,28,108
2015,One off houses,Laois,Laois,242,91,22,91
2015,One off houses,Leitrim,Leitrim,250,24,6,24
2015,One off houses,Limerick,Limerick,246,138,34,138
2015,One off houses,Longford,Longford,286,35,10,35
2015,One off houses,Louth,Louth,241,83,20,83
2015,One off houses,Mayo,Mayo,255,137,35,137
2015,One off houses,Meath,Meath,272,202,55,202
2015,One off houses,Monaghan,Monaghan,254,114,29,114
2015,One off houses,Offaly,Offaly,261,69,18,69
2015,One off houses,Roscommon,Roscommon,273,44,12,44
2015,One off houses,Sligo,Sligo,241,54,13,54
2015,One off houses,Waterford,Waterford,230,87,20,87
2015,One off houses,Westmeath,Westmeath,242,66,16,66
2015,One off houses,Wexford,Wexford,243,202,49,202
2015,One off houses,Wicklow,Wicklow,215,121,26,121
2015,Private flats/apartments,Carlow,Carlow,125,4,1,8
2015,Private flats/apartments,Cavan,Cavan,0,2,0,2
2015,Private flats/apartments,Clare,Clare,167,6,1,6
2015,Private flats/apartments,Cork,Cork,96,39,11,115
2015,Private flats/apartments,Donegal,Donegal,111,2,1,9
2015,Private flats/apartments,Dublin,Dublin,97,124,230,2378
2015,Private flats/apartments,Galway,Galway,91,8,1,11
2015,Private flats/apartments,Kerry,Kerry,0,3,0,3
2015,Private flats/apartments,Kildare,Kildare,67,12,1,15
2015,Private flats/apartments,Kilkenny,Kilkenny,91,9,1,11
2015,Private flats/apartments,Laois,Laois,125,4,1,8
2015,Private flats/apartments,Leitrim,Leitrim,0,1,0,1
2015,Private flats/apartments,Limerick,Limerick,59,13,1,17
2015,Private flats/apartments,Louth,Louth,77,11,2,26
2015,Private flats/apartments,Mayo,Mayo,125,7,1,8
2015,Private flats/apartments,Meath,Meath,85,17,4,47
2015,Private flats/apartments,Monaghan,Monaghan,0,2,0,2
2015,Private flats/apartments,Offaly,Offaly,0,5,0,6
2015,Private flats/apartments,Sligo,Sligo,0,1,0,1
2015,Private flats/apartments,Waterford,Waterford,0,5,0,5
2015,Private flats/apartments,Westmeath,Westmeath,71,7,1,14
2015,Private flats/apartments,Wexford,Wexford,80,16,2,25
2015,Private flats/apartments,Wicklow,Wicklow,118,11,2,17
2016,Houses,Carlow,Carlow,234,56,15,64
2016,Houses,Cavan,Cavan,239,80,22,92
2016,Houses,Clare,Clare,188,170,59,314
2016,Houses,Cork,Cork,178,653,274,1538
2016,Houses,Donegal,Donegal,240,238,65,271
2016,Houses,Dublin,Dublin,138,483,489,3531
2016,Houses,Galway,Galway,224,272,79,352
2016,Houses,Kerry,Kerry,194,187,54,278
2016,Houses,Kildare,Kildare,160,200,111,693
2016,Houses,Kilkenny,Kilkenny,214,147,43,201
2016,Houses,Laois,Laois,180,116,45,250
2016,Houses,Leitrim,Leitrim,273,22,6,22
2016,Houses,Limerick,Limerick,192,162,55,286
2016,Houses,Longford,Longford,226,56,14,62
2016,Houses,Louth,Louth,153,120,59,385
2016,Houses,Mayo,Mayo,201,214,70,348
2016,Houses,Meath,Meath,161,298,185,1151
2016,Houses,Monaghan,Monaghan,270,115,31,115
2016,Houses,Offaly,Offaly,259,80,22,85
2016,Houses,Roscommon,Roscommon,181,66,25,138
2016,Houses,Sligo,Sligo,207,78,24,116
2016,Houses,Waterford,Waterford,181,123,39,215
2016,Houses,Westmeath,Westmeath,199,114,39,196
2016,Houses,Wexford,Wexford,177,234,89,503
2016,Houses,Wicklow,Wicklow,160,150,103,642
2016,Multi development houses,Carlow,Carlow,200,2,2,10
2016,Multi development houses,Cavan,Cavan,143,2,2,14
2016,Multi development houses,Clare,Clare,123,11,19,155
2016,Multi development houses,Cork,Cork,141,60,133,945
2016,Multi development houses,Donegal,Donegal,132,5,5,38
2016,Multi development houses,Dublin,Dublin,133,146,426,3194
2016,Multi development houses,Galway,Galway,126,7,11,87
